willingness,w i l l i n g n e s s,"Input: willingness Answer: w i l l i n g n e s s
"
sleeve,s l e e v e,"Input: sleeve Answer: s l e e v e
"
dealer,d e a l e r,"Input: dealer Answer: d e a l e r
"
lent,l e n t,"Input: lent Answer: l e n t
"
geology,g e o l o g y,"Input: geology Answer: g e o l o g y
"
anatomy,a n a t o m y,"Input: anatomy Answer: a n a t o m y
"
moist,m o i s t,"Input: moist Answer: m o i s t
"
lip,l i p,"Input: lip Answer: l i p
"
emblem,e m b l e m,"Input: emblem Answer: e m b l e m
"
pneumonia,p n e u m o n i a,"Input: pneumonia Answer: p n e u m o n i a
"
predation,p r e d a t i o n,"Input: predation Answer: p r e d a t i o n
"
portal,p o r t a l,"Input: portal Answer: p o r t a l
"
confluence,c o n f l u e n c e,"Input: confluence Answer: c o n f l u e n c e
"
fraternity,f r a t e r n i t y,"Input: fraternity Answer: f r a t e r n i t y
"
immunity,i m m u n i t y,"Input: immunity Answer: i m m u n i t y
"
glider,g l i d e r,"Input: glider Answer: g l i d e r
"
fortification,f o r t i f i c a t i o n,"Input: fortification Answer: f o r t i f i c a t i o n
"
tactic,t a c t i c,"Input: tactic Answer: t a c t i c
"
impedance,i m p e d a n c e,"Input: impedance Answer: i m p e d a n c e
"
fabric,f a b r i c,"Input: fabric Answer: f a b r i c
"
disruption,d i s r u p t i o n,"Input: disruption Answer: d i s r u p t i o n
"
synagogue,s y n a g o g u e,"Input: synagogue Answer: s y n a g o g u e
"
import,i m p o r t,"Input: import Answer: i m p o r t
"
influenza,i n f l u e n z a,"Input: influenza Answer: i n f l u e n z a
"
pavilion,p a v i l i o n,"Input: pavilion Answer: p a v i l i o n
"
concession,c o n c e s s i o n,"Input: concession Answer: c o n c e s s i o n
"
smallpox,s m a l l p o x,"Input: smallpox Answer: s m a l l p o x
"
pottery,p o t t e r y,"Input: pottery Answer: p o t t e r y
"
trumpet,t r u m p e t,"Input: trumpet Answer: t r u m p e t
"
surf,s u r f,"Input: surf Answer: s u r f
"
sensitivity,s e n s i t i v i t y,"Input: sensitivity Answer: s e n s i t i v i t y
"
mandate,m a n d a t e,"Input: mandate Answer: m a n d a t e
"
beef,b e e f,"Input: beef Answer: b e e f
"
auto,a u t o,"Input: auto Answer: a u t o
"
mistress,m i s t r e s s,"Input: mistress Answer: m i s t r e s s
"
breakfast,b r e a k f a s t,"Input: breakfast Answer: b r e a k f a s t
"
slogan,s l o g a n,"Input: slogan Answer: s l o g a n
"
taxation,t a x a t i o n,"Input: taxation Answer: t a x a t i o n
"
spine,s p i n e,"Input: spine Answer: s p i n e
"
reprise,r e p r i s e,"Input: reprise Answer: r e p r i s e
"
nuclei,n u c l e i,"Input: nuclei Answer: n u c l e i
"
inauguration,i n a u g u r a t i o n,"Input: inauguration Answer: i n a u g u r a t i o n
"
abolition,a b o l i t i o n,"Input: abolition Answer: a b o l i t i o n
"
hostility,h o s t i l i t y,"Input: hostility Answer: h o s t i l i t y
"
influx,i n f l u x,"Input: influx Answer: i n f l u x
"
packaging,p a c k a g i n g,"Input: packaging Answer: p a c k a g i n g
"
underside,u n d e r s i d e,"Input: underside Answer: u n d e r s i d e
"
millimetre,m i l l i m e t r e,"Input: millimetre Answer: m i l l i m e t r e
"
hind,h i n d,"Input: hind Answer: h i n d
"
subway,s u b w a y,"Input: subway Answer: s u b w a y
"
scarce,s c a r c e,"Input: scarce Answer: s c a r c e
"
predict,p r e d i c t,"Input: predict Answer: p r e d i c t
"
backstage,b a c k s t a g e,"Input: backstage Answer: b a c k s t a g e
"
reissue,r e i s s u e,"Input: reissue Answer: r e i s s u e
"
respiratory,r e s p i r a t o r y,"Input: respiratory Answer: r e s p i r a t o r y
"
endorsement,e n d o r s e m e n t,"Input: endorsement Answer: e n d o r s e m e n t
"
aristocracy,a r i s t o c r a c y,"Input: aristocracy Answer: a r i s t o c r a c y
"
disability,d i s a b i l i t y,"Input: disability Answer: d i s a b i l i t y
"
prohibition,p r o h i b i t i o n,"Input: prohibition Answer: p r o h i b i t i o n
"
feast,f e a s t,"Input: feast Answer: f e a s t
"
shower,s h o w e r,"Input: shower Answer: s h o w e r
"
symmetry,s y m m e t r y,"Input: symmetry Answer: s y m m e t r y
"
pirate,p i r a t e,"Input: pirate Answer: p i r a t e
"
confession,c o n f e s s i o n,"Input: confession Answer: c o n f e s s i o n
"
nationalism,n a t i o n a l i s m,"Input: nationalism Answer: n a t i o n a l i s m
"
module,m o d u l e,"Input: module Answer: m o d u l e
"
neutrality,n e u t r a l i t y,"Input: neutrality Answer: n e u t r a l i t y
"
wisdom,w i s d o m,"Input: wisdom Answer: w i s d o m
"
communism,c o m m u n i s m,"Input: communism Answer: c o m m u n i s m
"
mast,m a s t,"Input: mast Answer: m a s t
"
desk,d e s k,"Input: desk Answer: d e s k
"
kicking,k i c k i n g,"Input: kicking Answer: k i c k i n g
"
homeland,h o m e l a n d,"Input: homeland Answer: h o m e l a n d
"
undertaking,u n d e r t a k i n g,"Input: undertaking Answer: u n d e r t a k i n g
"
robbery,r o b b e r y,"Input: robbery Answer: r o b b e r y
"
survivor,s u r v i v o r,"Input: survivor Answer: s u r v i v o r
"
takeover,t a k e o v e r,"Input: takeover Answer: t a k e o v e r
"
casino,c a s i n o,"Input: casino Answer: c a s i n o
"
facade,f a c a d e,"Input: facade Answer: f a c a d e
"
township,t o w n s h i p,"Input: township Answer: t o w n s h i p
"
pulp,p u l p,"Input: pulp Answer: p u l p
"
chronicle,c h r o n i c l e,"Input: chronicle Answer: c h r o n i c l e
"
toxicity,t o x i c i t y,"Input: toxicity Answer: t o x i c i t y
"
deploy,d e p l o y,"Input: deploy Answer: d e p l o y
"
researcher,r e s e a r c h e r,"Input: researcher Answer: r e s e a r c h e r
"
timeslot,t i m e s l o t,"Input: timeslot Answer: t i m e s l o t
"
niece,n i e c e,"Input: niece Answer: n i e c e
"
ecosystem,e c o s y s t e m,"Input: ecosystem Answer: e c o s y s t e m
"
incarnation,i n c a r n a t i o n,"Input: incarnation Answer: i n c a r n a t i o n
"
shutout,s h u t o u t,"Input: shutout Answer: s h u t o u t
"
suppression,s u p p r e s s i o n,"Input: suppression Answer: s u p p r e s s i o n
"
plague,p l a g u e,"Input: plague Answer: p l a g u e
"
hemisphere,h e m i s p h e r e,"Input: hemisphere Answer: h e m i s p h e r e
"
cadet,c a d e t,"Input: cadet Answer: c a d e t
"
inventory,i n v e n t o r y,"Input: inventory Answer: i n v e n t o r y
"
donation,d o n a t i o n,"Input: donation Answer: d o n a t i o n
"
calibre,c a l i b r e,"Input: calibre Answer: c a l i b r e
"
relocation,r e l o c a t i o n,"Input: relocation Answer: r e l o c a t i o n
"
journalism,j o u r n a l i s m,"Input: journalism Answer: j o u r n a l i s m
"
aluminium,a l u m i n i u m,"Input: aluminium Answer: a l u m i n i u m
"
curse,c u r s e,"Input: curse Answer: c u r s e
"
annexation,a n n e x a t i o n,"Input: annexation Answer: a n n e x a t i o n
"
canvas,c a n v a s,"Input: canvas Answer: c a n v a s
"
crush,c r u s h,"Input: crush Answer: c r u s h
"
quadruple,q u a d r u p l e,"Input: quadruple Answer: q u a d r u p l e
"
offset,o f f s e t,"Input: offset Answer: o f f s e t
"
reliance,r e l i a n c e,"Input: reliance Answer: r e l i a n c e
"
authenticity,a u t h e n t i c i t y,"Input: authenticity Answer: a u t h e n t i c i t y
"
interval,i n t e r v a l,"Input: interval Answer: i n t e r v a l
"
eligibility,e l i g i b i l i t y,"Input: eligibility Answer: e l i g i b i l i t y
"
breath,b r e a t h,"Input: breath Answer: b r e a t h
"
cane,c a n e,"Input: cane Answer: c a n e
"
crack,c r a c k,"Input: crack Answer: c r a c k
"
sediment,s e d i m e n t,"Input: sediment Answer: s e d i m e n t
"
pension,p e n s i o n,"Input: pension Answer: p e n s i o n
"
textile,t e x t i l e,"Input: textile Answer: t e x t i l e
"
coincide,c o i n c i d e,"Input: coincide Answer: c o i n c i d e
"
bathroom,b a t h r o o m,"Input: bathroom Answer: b a t h r o o m
"
dental,d e n t a l,"Input: dental Answer: d e n t a l
"
drain,d r a i n,"Input: drain Answer: d r a i n
"
nightclub,n i g h t c l u b,"Input: nightclub Answer: n i g h t c l u b
"
salvage,s a l v a g e,"Input: salvage Answer: s a l v a g e
"
rage,r a g e,"Input: rage Answer: r a g e
"
disguise,d i s g u i s e,"Input: disguise Answer: d i s g u i s e
"
electro,e l e c t r o,"Input: electro Answer: e l e c t r o
"
stiff,s t i f f,"Input: stiff Answer: s t i f f
"
renewal,r e n e w a l,"Input: renewal Answer: r e n e w a l
"
workshop,w o r k s h o p,"Input: workshop Answer: w o r k s h o p
"
incorporation,i n c o r p o r a t i o n,"Input: incorporation Answer: i n c o r p o r a t i o n
"
vault,v a u l t,"Input: vault Answer: v a u l t
"
tuberculosis,t u b e r c u l o s i s,"Input: tuberculosis Answer: t u b e r c u l o s i s
"
timeline,t i m e l i n e,"Input: timeline Answer: t i m e l i n e
"
cow,c o w,"Input: cow Answer: c o w
"
breakup,b r e a k u p,"Input: breakup Answer: b r e a k u p
"
enclosure,e n c l o s u r e,"Input: enclosure Answer: e n c l o s u r e
"
milestone,m i l e s t o n e,"Input: milestone Answer: m i l e s t o n e
"
pairing,p a i r i n g,"Input: pairing Answer: p a i r i n g
"
graph,g r a p h,"Input: graph Answer: g r a p h
"
scrutiny,s c r u t i n y,"Input: scrutiny Answer: s c r u t i n y
"
bust,b u s t,"Input: bust Answer: b u s t
"
shuttle,s h u t t l e,"Input: shuttle Answer: s h u t t l e
"
illusion,i l l u s i o n,"Input: illusion Answer: i l l u s i o n
"
experimentation,e x p e r i m e n t a t i o n,"Input: experimentation Answer: e x p e r i m e n t a t i o n
"
privilege,p r i v i l e g e,"Input: privilege Answer: p r i v i l e g e
"
bend,b e n d,"Input: bend Answer: b e n d
"
circus,c i r c u s,"Input: circus Answer: c i r c u s
"
doll,d o l l,"Input: doll Answer: d o l l
"
enrollment,e n r o l l m e n t,"Input: enrollment Answer: e n r o l l m e n t
"
beak,b e a k,"Input: beak Answer: b e a k
"
lumber,l u m b e r,"Input: lumber Answer: l u m b e r
"
monopoly,m o n o p o l y,"Input: monopoly Answer: m o n o p o l y
"
curving,c u r v i n g,"Input: curving Answer: c u r v i n g
"
lacrosse,l a c r o s s e,"Input: lacrosse Answer: l a c r o s s e
"
captaincy,c a p t a i n c y,"Input: captaincy Answer: c a p t a i n c y
"
snout,s n o u t,"Input: snout Answer: s n o u t
"
populace,p o p u l a c e,"Input: populace Answer: p o p u l a c e
"
trait,t r a i t,"Input: trait Answer: t r a i t
"
dislike,d i s l i k e,"Input: dislike Answer: d i s l i k e
"
pamphlet,p a m p h l e t,"Input: pamphlet Answer: p a m p h l e t
"
porch,p o r c h,"Input: porch Answer: p o r c h
"
cement,c e m e n t,"Input: cement Answer: c e m e n t
"
gradient,g r a d i e n t,"Input: gradient Answer: g r a d i e n t
"
terrorism,t e r r o r i s m,"Input: terrorism Answer: t e r r o r i s m
"
finalist,f i n a l i s t,"Input: finalist Answer: f i n a l i s t
"
wilderness,w i l d e r n e s s,"Input: wilderness Answer: w i l d e r n e s s
"
playwright,p l a y w r i g h t,"Input: playwright Answer: p l a y w r i g h t
"
irrigation,i r r i g a t i o n,"Input: irrigation Answer: i r r i g a t i o n
"
turmoil,t u r m o i l,"Input: turmoil Answer: t u r m o i l
"
chocolate,c h o c o l a t e,"Input: chocolate Answer: c h o c o l a t e
"
equator,e q u a t o r,"Input: equator Answer: e q u a t o r
"
proclamation,p r o c l a m a t i o n,"Input: proclamation Answer: p r o c l a m a t i o n
"
reconciliation,r e c o n c i l i a t i o n,"Input: reconciliation Answer: r e c o n c i l i a t i o n
"
plea,p l e a,"Input: plea Answer: p l e a
"
broadcaster,b r o a d c a s t e r,"Input: broadcaster Answer: b r o a d c a s t e r
"
weaponry,w e a p o n r y,"Input: weaponry Answer: w e a p o n r y
"
friction,f r i c t i o n,"Input: friction Answer: f r i c t i o n
"
dignity,d i g n i t y,"Input: dignity Answer: d i g n i t y
"
advocacy,a d v o c a c y,"Input: advocacy Answer: a d v o c a c y
"
activism,a c t i v i s m,"Input: activism Answer: a c t i v i s m
"
diplomat,d i p l o m a t,"Input: diplomat Answer: d i p l o m a t
"
punch,p u n c h,"Input: punch Answer: p u n c h
"
denial,d e n i a l,"Input: denial Answer: d e n i a l
"
fraction,f r a c t i o n,"Input: fraction Answer: f r a c t i o n
"
prediction,p r e d i c t i o n,"Input: prediction Answer: p r e d i c t i o n
"
dictator,d i c t a t o r,"Input: dictator Answer: d i c t a t o r
"
fragment,f r a g m e n t,"Input: fragment Answer: f r a g m e n t
"
boycott,b o y c o t t,"Input: boycott Answer: b o y c o t t
"
sweeping,s w e e p i n g,"Input: sweeping Answer: s w e e p i n g
"
fielding,f i e l d i n g,"Input: fielding Answer: f i e l d i n g
"
ambulance,a m b u l a n c e,"Input: ambulance Answer: a m b u l a n c e
"
encouragement,e n c o u r a g e m e n t,"Input: encouragement Answer: e n c o u r a g e m e n t
"
mice,m i c e,"Input: mice Answer: m i c e
"
critique,c r i t i q u e,"Input: critique Answer: c r i t i q u e
"
peat,p e a t,"Input: peat Answer: p e a t
"
backstory,b a c k s t o r y,"Input: backstory Answer: b a c k s t o r y
"
satisfaction,s a t i s f a c t i o n,"Input: satisfaction Answer: s a t i s f a c t i o n
"
lithium,l i t h i u m,"Input: lithium Answer: l i t h i u m
"
bunch,b u n c h,"Input: bunch Answer: b u n c h
"
sensation,s e n s a t i o n,"Input: sensation Answer: s e n s a t i o n
"
scenery,s c e n e r y,"Input: scenery Answer: s c e n e r y
"
courthouse,c o u r t h o u s e,"Input: courthouse Answer: c o u r t h o u s e
"
bride,b r i d e,"Input: bride Answer: b r i d e
"
medication,m e d i c a t i o n,"Input: medication Answer: m e d i c a t i o n
"
archaeology,a r c h a e o l o g y,"Input: archaeology Answer: a r c h a e o l o g y
"
likelihood,l i k e l i h o o d,"Input: likelihood Answer: l i k e l i h o o d
"
vaccine,v a c c i n e,"Input: vaccine Answer: v a c c i n e
"
telegraph,t e l e g r a p h,"Input: telegraph Answer: t e l e g r a p h
"
fond,f o n d,"Input: fond Answer: f o n d
"
contractor,c o n t r a c t o r,"Input: contractor Answer: c o n t r a c t o r
"
taxi,t a x i,"Input: taxi Answer: t a x i
"
connector,c o n n e c t o r,"Input: connector Answer: c o n n e c t o r
"
mess,m e s s,"Input: mess Answer: m e s s
"
grip,g r i p,"Input: grip Answer: g r i p
"
headline,h e a d l i n e,"Input: headline Answer: h e a d l i n e
"
dividing,d i v i d i n g,"Input: dividing Answer: d i v i d i n g
"
participant,p a r t i c i p a n t,"Input: participant Answer: p a r t i c i p a n t
"
brake,b r a k e,"Input: brake Answer: b r a k e
"
murderer,m u r d e r e r,"Input: murderer Answer: m u r d e r e r
"
pumping,p u m p i n g,"Input: pumping Answer: p u m p i n g
"
haul,h a u l,"Input: haul Answer: h a u l
"
synth,s y n t h,"Input: synth Answer: s y n t h
"
fluoride,f l u o r i d e,"Input: fluoride Answer: f l u o r i d e
"
spinal,s p i n a l,"Input: spinal Answer: s p i n a l
"
guarding,g u a r d i n g,"Input: guarding Answer: g u a r d i n g
"
expertise,e x p e r t i s e,"Input: expertise Answer: e x p e r t i s e
"
citadel,c i t a d e l,"Input: citadel Answer: c i t a d e l
"
cord,c o r d,"Input: cord Answer: c o r d
"
cinematography,c i n e m a t o g r a p h y,"Input: cinematography Answer: c i n e m a t o g r a p h y
"
autism,a u t i s m,"Input: autism Answer: a u t i s m
"
lesson,l e s s o n,"Input: lesson Answer: l e s s o n
"
intake,i n t a k e,"Input: intake Answer: i n t a k e
"
exam,e x a m,"Input: exam Answer: e x a m
"
thematic,t h e m a t i c,"Input: thematic Answer: t h e m a t i c
"
genome,g e n o m e,"Input: genome Answer: g e n o m e
"
diffusion,d i f f u s i o n,"Input: diffusion Answer: d i f f u s i o n
"
privacy,p r i v a c y,"Input: privacy Answer: p r i v a c y
"
apparatus,a p p a r a t u s,"Input: apparatus Answer: a p p a r a t u s
"
libretto,l i b r e t t o,"Input: libretto Answer: l i b r e t t o
"
knocking,k n o c k i n g,"Input: knocking Answer: k n o c k i n g
"
peasant,p e a s a n t,"Input: peasant Answer: p e a s a n t
"
capitalism,c a p i t a l i s m,"Input: capitalism Answer: c a p i t a l i s m
"
contempt,c o n t e m p t,"Input: contempt Answer: c o n t e m p t
"
booklet,b o o k l e t,"Input: booklet Answer: b o o k l e t
"
prosecutor,p r o s e c u t o r,"Input: prosecutor Answer: p r o s e c u t o r
"
chorale,c h o r a l e,"Input: chorale Answer: c h o r a l e
"
amusement,a m u s e m e n t,"Input: amusement Answer: a m u s e m e n t
"
royalty,r o y a l t y,"Input: royalty Answer: r o y a l t y
"
expose,e x p o s e,"Input: expose Answer: e x p o s e
"
restriction,r e s t r i c t i o n,"Input: restriction Answer: r e s t r i c t i o n
"
gust,g u s t,"Input: gust Answer: g u s t
"
tent,t e n t,"Input: tent Answer: t e n t
"
expectation,e x p e c t a t i o n,"Input: expectation Answer: e x p e c t a t i o n
"
aluminum,a l u m i n u m,"Input: aluminum Answer: a l u m i n u m
"
pilgrimage,p i l g r i m a g e,"Input: pilgrimage Answer: p i l g r i m a g e
"
legitimacy,l e g i t i m a c y,"Input: legitimacy Answer: l e g i t i m a c y
"
meditation,m e d i t a t i o n,"Input: meditation Answer: m e d i t a t i o n
"
streaming,s t r e a m i n g,"Input: streaming Answer: s t r e a m i n g
"
analogy,a n a l o g y,"Input: analogy Answer: a n a l o g y
"
socialism,s o c i a l i s m,"Input: socialism Answer: s o c i a l i s m
"
commuter,c o m m u t e r,"Input: commuter Answer: c o m m u t e r
"
limb,l i m b,"Input: limb Answer: l i m b
"
cake,c a k e,"Input: cake Answer: c a k e
"
vitamin,v i t a m i n,"Input: vitamin Answer: v i t a m i n
"
podium,p o d i u m,"Input: podium Answer: p o d i u m
"
algorithm,a l g o r i t h m,"Input: algorithm Answer: a l g o r i t h m
"
segregation,s e g r e g a t i o n,"Input: segregation Answer: s e g r e g a t i o n
"
worry,w o r r y,"Input: worry Answer: w o r r y
"
molecule,m o l e c u l e,"Input: molecule Answer: m o l e c u l e
"
tech,t e c h,"Input: tech Answer: t e c h
"
teaser,t e a s e r,"Input: teaser Answer: t e a s e r
"
nursery,n u r s e r y,"Input: nursery Answer: n u r s e r y
"
chancellor,c h a n c e l l o r,"Input: chancellor Answer: c h a n c e l l o r
"
nasal,n a s a l,"Input: nasal Answer: n a s a l
"
daytime,d a y t i m e,"Input: daytime Answer: d a y t i m e
"
cook,c o o k,"Input: cook Answer: c o o k
"
lure,l u r e,"Input: lure Answer: l u r e
"
scratch,s c r a t c h,"Input: scratch Answer: s c r a t c h
"
vulnerability,v u l n e r a b i l i t y,"Input: vulnerability Answer: v u l n e r a b i l i t y
"
staple,s t a p l e,"Input: staple Answer: s t a p l e
"
sortie,s o r t i e,"Input: sortie Answer: s o r t i e
"
guess,g u e s s,"Input: guess Answer: g u e s s
"
gamma,g a m m a,"Input: gamma Answer: g a m m a
"
bubble,b u b b l e,"Input: bubble Answer: b u b b l e
"
exclusion,e x c l u s i o n,"Input: exclusion Answer: e x c l u s i o n
"
relativity,r e l a t i v i t y,"Input: relativity Answer: r e l a t i v i t y
"
sociology,s o c i o l o g y,"Input: sociology Answer: s o c i o l o g y
"
stealth,s t e a l t h,"Input: stealth Answer: s t e a l t h
"
scouting,s c o u t i n g,"Input: scouting Answer: s c o u t i n g
"
affinity,a f f i n i t y,"Input: affinity Answer: a f f i n i t y
"
litter,l i t t e r,"Input: litter Answer: l i t t e r
"
domination,d o m i n a t i o n,"Input: domination Answer: d o m i n a t i o n
"
outlet,o u t l e t,"Input: outlet Answer: o u t l e t
"
cheek,c h e e k,"Input: cheek Answer: c h e e k
"
forehead,f o r e h e a d,"Input: forehead Answer: f o r e h e a d
"
discretion,d i s c r e t i o n,"Input: discretion Answer: d i s c r e t i o n
"
stature,s t a t u r e,"Input: stature Answer: s t a t u r e
"
obligation,o b l i g a t i o n,"Input: obligation Answer: o b l i g a t i o n
"
valve,v a l v e,"Input: valve Answer: v a l v e
"
dependence,d e p e n d e n c e,"Input: dependence Answer: d e p e n d e n c e
"
flour,f l o u r,"Input: flour Answer: f l o u r
"
wrist,w r i s t,"Input: wrist Answer: w r i s t
"
takeoff,t a k e o f f,"Input: takeoff Answer: t a k e o f f
"
literacy,l i t e r a c y,"Input: literacy Answer: l i t e r a c y
"
outlook,o u t l o o k,"Input: outlook Answer: o u t l o o k
"
premium,p r e m i u m,"Input: premium Answer: p r e m i u m
"
mutation,m u t a t i o n,"Input: mutation Answer: m u t a t i o n
"
invest,i n v e s t,"Input: invest Answer: i n v e s t
"
archaeologist,a r c h a e o l o g i s t,"Input: archaeologist Answer: a r c h a e o l o g i s t
"
activation,a c t i v a t i o n,"Input: activation Answer: a c t i v a t i o n
"
simulation,s i m u l a t i o n,"Input: simulation Answer: s i m u l a t i o n
"
linebacker,l i n e b a c k e r,"Input: linebacker Answer: l i n e b a c k e r
"
subscription,s u b s c r i p t i o n,"Input: subscription Answer: s u b s c r i p t i o n
"
synonym,s y n o n y m,"Input: synonym Answer: s y n o n y m
"
recession,r e c e s s i o n,"Input: recession Answer: r e c e s s i o n
"
hunger,h u n g e r,"Input: hunger Answer: h u n g e r
"
validity,v a l i d i t y,"Input: validity Answer: v a l i d i t y
"
parkway,p a r k w a y,"Input: parkway Answer: p a r k w a y
"
yoga,y o g a,"Input: yoga Answer: y o g a
"
induction,i n d u c t i o n,"Input: induction Answer: i n d u c t i o n
"
thread,t h r e a d,"Input: thread Answer: t h r e a d
"
plaster,p l a s t e r,"Input: plaster Answer: p l a s t e r
"
cinematographer,c i n e m a t o g r a p h e r,"Input: cinematographer Answer: c i n e m a t o g r a p h e r
"
generator,g e n e r a t o r,"Input: generator Answer: g e n e r a t o r
"
narration,n a r r a t i o n,"Input: narration Answer: n a r r a t i o n
"
obstacle,o b s t a c l e,"Input: obstacle Answer: o b s t a c l e
"
subfamily,s u b f a m i l y,"Input: subfamily Answer: s u b f a m i l y
"
senate,s e n a t e,"Input: senate Answer: s e n a t e
"
reservation,r e s e r v a t i o n,"Input: reservation Answer: r e s e r v a t i o n
"
workforce,w o r k f o r c e,"Input: workforce Answer: w o r k f o r c e
"
assemble,a s s e m b l e,"Input: assemble Answer: a s s e m b l e
"
attribute,a t t r i b u t e,"Input: attribute Answer: a t t r i b u t e
"
pond,p o n d,"Input: pond Answer: p o n d
"
par,p a r,"Input: par Answer: p a r
"
vibe,v i b e,"Input: vibe Answer: v i b e
"
fatigue,f a t i g u e,"Input: fatigue Answer: f a t i g u e
"
flexibility,f l e x i b i l i t y,"Input: flexibility Answer: f l e x i b i l i t y
"
crane,c r a n e,"Input: crane Answer: c r a n e
"
cassette,c a s s e t t e,"Input: cassette Answer: c a s s e t t e
"
courtship,c o u r t s h i p,"Input: courtship Answer: c o u r t s h i p
"
adulthood,a d u l t h o o d,"Input: adulthood Answer: a d u l t h o o d
"
seller,s e l l e r,"Input: seller Answer: s e l l e r
"
grunge,g r u n g e,"Input: grunge Answer: g r u n g e
"
sergeant,s e r g e a n t,"Input: sergeant Answer: s e r g e a n t
"
ventilation,v e n t i l a t i o n,"Input: ventilation Answer: v e n t i l a t i o n
"
consort,c o n s o r t,"Input: consort Answer: c o n s o r t
"
peer,p e e r,"Input: peer Answer: p e e r
"
humidity,h u m i d i t y,"Input: humidity Answer: h u m i d i t y
"
documentation,d o c u m e n t a t i o n,"Input: documentation Answer: d o c u m e n t a t i o n
"
masonry,m a s o n r y,"Input: masonry Answer: m a s o n r y
"
bunker,b u n k e r,"Input: bunker Answer: b u n k e r
"
obsession,o b s e s s i o n,"Input: obsession Answer: o b s e s s i o n
"
contamination,c o n t a m i n a t i o n,"Input: contamination Answer: c o n t a m i n a t i o n
"
rewards,r e w a r d s,"Input: rewards Answer: r e w a r d s
"
sickness,s i c k n e s s,"Input: sickness Answer: s i c k n e s s
"
antiquity,a n t i q u i t y,"Input: antiquity Answer: a n t i q u i t y
"
prostitution,p r o s t i t u t i o n,"Input: prostitution Answer: p r o s t i t u t i o n
"
listener,l i s t e n e r,"Input: listener Answer: l i s t e n e r
"
cocaine,c o c a i n e,"Input: cocaine Answer: c o c a i n e
"
standout,s t a n d o u t,"Input: standout Answer: s t a n d o u t
"
reel,r e e l,"Input: reel Answer: r e e l
"
vocabulary,v o c a b u l a r y,"Input: vocabulary Answer: v o c a b u l a r y
"
birthplace,b i r t h p l a c e,"Input: birthplace Answer: b i r t h p l a c e
"
spectacle,s p e c t a c l e,"Input: spectacle Answer: s p e c t a c l e
"
swamp,s w a m p,"Input: swamp Answer: s w a m p
"
crusade,c r u s a d e,"Input: crusade Answer: c r u s a d e
"
ink,i n k,"Input: ink Answer: i n k
"
deposition,d e p o s i t i o n,"Input: deposition Answer: d e p o s i t i o n
"
penis,p e n i s,"Input: penis Answer: p e n i s
"
logging,l o g g i n g,"Input: logging Answer: l o g g i n g
"
pathway,p a t h w a y,"Input: pathway Answer: p a t h w a y
"
prejudice,p r e j u d i c e,"Input: prejudice Answer: p r e j u d i c e
"
analyst,a n a l y s t,"Input: analyst Answer: a n a l y s t
"
bravery,b r a v e r y,"Input: bravery Answer: b r a v e r y
"
clone,c l o n e,"Input: clone Answer: c l o n e
"
rudder,r u d d e r,"Input: rudder Answer: r u d d e r
"
shake,s h a k e,"Input: shake Answer: s h a k e
"
swift,s w i f t,"Input: swift Answer: s w i f t
"
wardrobe,w a r d r o b e,"Input: wardrobe Answer: w a r d r o b e
"
liquor,l i q u o r,"Input: liquor Answer: l i q u o r
"
reliability,r e l i a b i l i t y,"Input: reliability Answer: r e l i a b i l i t y
"
pectoral,p e c t o r a l,"Input: pectoral Answer: p e c t o r a l
"
consistency,c o n s i s t e n c y,"Input: consistency Answer: c o n s i s t e n c y
"
prostitute,p r o s t i t u t e,"Input: prostitute Answer: p r o s t i t u t e
"
degradation,d e g r a d a t i o n,"Input: degradation Answer: d e g r a d a t i o n
"
rendezvous,r e n d e z v o u s,"Input: rendezvous Answer: r e n d e z v o u s
"
stripe,s t r i p e,"Input: stripe Answer: s t r i p e
"
cloverleaf,c l o v e r l e a f,"Input: cloverleaf Answer: c l o v e r l e a f
"
receptor,r e c e p t o r,"Input: receptor Answer: r e c e p t o r
"
antibody,a n t i b o d y,"Input: antibody Answer: a n t i b o d y
"
salvation,s a l v a t i o n,"Input: salvation Answer: s a l v a t i o n
"
alphabet,a l p h a b e t,"Input: alphabet Answer: a l p h a b e t
"
awarding,a w a r d i n g,"Input: awarding Answer: a w a r d i n g
"
foliage,f o l i a g e,"Input: foliage Answer: f o l i a g e
"
modernization,m o d e r n i z a t i o n,"Input: modernization Answer: m o d e r n i z a t i o n
"
creativity,c r e a t i v i t y,"Input: creativity Answer: c r e a t i v i t y
"
sampling,s a m p l i n g,"Input: sampling Answer: s a m p l i n g
"
botanist,b o t a n i s t,"Input: botanist Answer: b o t a n i s t
"
injection,i n j e c t i o n,"Input: injection Answer: i n j e c t i o n
"
flowering,f l o w e r i n g,"Input: flowering Answer: f l o w e r i n g
"
diabetes,d i a b e t e s,"Input: diabetes Answer: d i a b e t e s
"
wreckage,w r e c k a g e,"Input: wreckage Answer: w r e c k a g e
"
obituary,o b i t u a r y,"Input: obituary Answer: o b i t u a r y
"
aggregator,a g g r e g a t o r,"Input: aggregator Answer: a g g r e g a t o r
"
cone,c o n e,"Input: cone Answer: c o n e
"
messenger,m e s s e n g e r,"Input: messenger Answer: m e s s e n g e r
"
endurance,e n d u r a n c e,"Input: endurance Answer: e n d u r a n c e
"
abandonment,a b a n d o n m e n t,"Input: abandonment Answer: a b a n d o n m e n t
"
